cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.5707', '0.2792', '0.0036', '0.2016', '0.0048', '0.2617', '0.5987', '0.3036', '0.4086', '0.3322']","['0.3542', '0.3526', '0.5000', '0.2495', '0.1364', '0.2884', '0.2596', '0.3108', '0.2953', '0.2906']","['0.5707', '0.2792', '0.0036', '0.2016', '0.0048', '0.2617', '0.5987', '0.3036', '0.4086', '0.3322']","['0.4371', '0.3116', '0.0071', '0.2230', '0.0092', '0.2744', '0.3622', '0.3071', '0.3429', '0.3100']","['0.5707', '0.2792', '0.0036', '0.2016', '0.0048', '0.2617', '0.5987', '0.3036', '0.4086', '0.3322']","['0.8812', '0.9440', '0.9996', '0.9282', '0.9965', '0.9288', '0.8110', '0.9307', '0.8913', '0.9075']","[[351, 43, 0, 5, 0, 19, 22, 23, 112, 40], [49, 165, 0, 43, 0, 15, 31, 14, 152, 122], [91, 11, 2, 57, 6, 52, 198, 61, 35, 45], [59, 34, 0, 128, 2, 101, 164, 71, 23, 53], [45, 11, 0, 70, 3, 56, 323, 61, 24, 38], [67, 36, 0, 67, 2, 156, 145, 54, 32, 37], [19, 15, 1, 50, 5, 36, 358, 51, 7, 56], [44, 30, 1, 59, 4, 81, 100, 170, 23, 48], [202, 53, 0, 8, 0, 20, 7, 7, 246, 59], [64, 70, 0, 26, 0, 5, 31, 35, 179, 204]]",-1,-1
1,"['0.4927', '0.4264', '0.0681', '0.1244', '0.1648', '0.3674', '0.6622', '0.4732', '0.4136', '0.3029']","['0.4676', '0.4367', '0.2235', '0.3173', '0.2796', '0.3004', '0.3160', '0.3181', '0.3614', '0.3875']","['0.4927', '0.4264', '0.0681', '0.1244', '0.1648', '0.3674', '0.6622', '0.4732', '0.4136', '0.3029']","['0.4798', '0.4315', '0.1044', '0.1787', '0.2074', '0.3306', '0.4279', '0.3805', '0.3857', '0.3400']","['0.4927', '0.4264', '0.0681', '0.1244', '0.1648', '0.3674', '0.6622', '0.4732', '0.4136', '0.3029']","['0.9359', '0.9399', '0.9757', '0.9683', '0.9501', '0.9056', '0.8414', '0.8956', '0.9185', '0.9454']","[[303, 52, 15, 2, 3, 23, 26, 57, 108, 26], [25, 252, 2, 19, 4, 19, 24, 34, 120, 92], [51, 11, 38, 20, 70, 60, 169, 110, 11, 18], [10, 19, 27, 79, 30, 166, 176, 85, 11, 32], [28, 13, 32, 24, 104, 64, 233, 103, 13, 17], [15, 17, 17, 25, 59, 219, 125, 87, 12, 20], [5, 11, 16, 31, 42, 41, 396, 31, 0, 25], [21, 19, 16, 23, 56, 81, 49, 265, 13, 17], [149, 78, 4, 3, 2, 38, 8, 24, 249, 47], [41, 105, 3, 23, 2, 18, 47, 37, 152, 186]]","[2, 2, 5, 7, 5, 3, 0, 0, 6, 6, 5, 9, 6, 4, 2, 7, 8, 1, 2, 8, 4, 2, 7, 9, 2, 3, 4, 4, 0, 3, 3, 6]","[2, 2, 5, 7, 5, 3, 0, 0, 6, 6, 5, 9, 6, 4, 2, 7, 8, 1, 2, 8, 4, 2, 7, 9, 2, 3, 4, 4, 0, 3, 3, 6]"
2,"['0.4472', '0.4213', '0.1523', '0.1465', '0.1173', '0.4664', '0.4799', '0.5214', '0.6013', '0.4365']","['0.5055', '0.4603', '0.2591', '0.2598', '0.4044', '0.3134', '0.3899', '0.3505', '0.3855', '0.4117']","['0.4472', '0.4213', '0.1523', '0.1465', '0.1173', '0.4664', '0.4799', '0.5214', '0.6013', '0.4365']","['0.4745', '0.4399', '0.1919', '0.1873', '0.1818', '0.3749', '0.4303', '0.4192', '0.4698', '0.4237']","['0.4472', '0.4213', '0.1523', '0.1465', '0.1173', '0.4664', '0.4799', '0.5214', '0.6013', '0.4365']","['0.9500', '0.9460', '0.9553', '0.9506', '0.9797', '0.8873', '0.9169', '0.9006', '0.8931', '0.9289']","[[275, 43, 16, 4, 3, 19, 13, 36, 170, 36], [17, 249, 2, 15, 2, 11, 11, 25, 152, 107], [62, 10, 85, 26, 33, 95, 99, 99, 23, 26], [16, 19, 32, 93, 10, 214, 99, 84, 19, 49], [35, 18, 95, 37, 74, 83, 135, 115, 19, 20], [19, 18, 28, 48, 24, 278, 47, 94, 12, 28], [5, 15, 46, 74, 23, 62, 287, 37, 4, 45], [24, 21, 18, 33, 13, 93, 22, 292, 18, 26], [76, 66, 4, 7, 0, 19, 4, 18, 362, 46], [15, 82, 2, 21, 1, 13, 19, 33, 160, 268]]","[8, 8, 3, 0, 3, 4, 0, 0, 5, 5, 8, 0, 9, 1, 7, 6, 4, 0, 9, 0, 3, 2, 0, 8, 8, 9, 0, 9, 5, 4, 9, 3]","[8, 8, 3, 0, 3, 4, 0, 0, 5, 5, 8, 0, 9, 1, 7, 6, 4, 0, 9, 0, 3, 2, 0, 8, 8, 9, 0, 9, 5, 4, 9, 3]"
3,"['0.4309', '0.5212', '0.1452', '0.1701', '0.1268', '0.4899', '0.5619', '0.5071', '0.5631', '0.4870']","['0.5464', '0.4850', '0.2727', '0.2784', '0.4301', '0.3184', '0.3737', '0.3833', '0.4420', '0.4365']","['0.4309', '0.5212', '0.1452', '0.1701', '0.1268', '0.4899', '0.5619', '0.5071', '0.5631', '0.4870']","['0.4818', '0.5024', '0.1895', '0.2111', '0.1958', '0.3860', '0.4489', '0.4366', '0.4953', '0.4604']","['0.4309', '0.5212', '0.1452', '0.1701', '0.1268', '0.4899', '0.5619', '0.5071', '0.5631', '0.4870']","['0.9591', '0.9395', '0.9603', '0.9478', '0.9803', '0.8843', '0.8958', '0.9160', '0.9207', '0.9283']","[[265, 49, 32, 4, 2, 24, 18, 36, 144, 41], [15, 308, 3, 8, 0, 12, 16, 19, 111, 99], [47, 16, 81, 28, 40, 104, 119, 83, 17, 23], [7, 20, 23, 108, 13, 211, 131, 65, 11, 46], [31, 21, 71, 33, 80, 83, 163, 111, 18, 20], [10, 11, 36, 65, 13, 292, 54, 80, 9, 26], [3, 18, 25, 70, 28, 54, 336, 27, 3, 34], [17, 16, 20, 43, 9, 100, 31, 284, 13, 27], [76, 65, 4, 7, 0, 22, 6, 13, 339, 70], [14, 111, 2, 22, 1, 15, 25, 23, 102, 299]]","[7, 0, 8, 0, 2, 7, 6, 2, 0, 4, 6, 5, 7, 8, 3, 4, 6, 4, 7, 3, 2, 3, 8, 2, 4, 2, 2, 2, 8, 1, 3, 6]","[7, 0, 8, 0, 2, 7, 6, 2, 0, 4, 6, 5, 7, 8, 3, 4, 6, 4, 7, 3, 2, 3, 8, 2, 4, 2, 2, 2, 8, 1, 3, 6]"
4,"['0.5008', '0.5042', '0.2151', '0.1780', '0.1125', '0.5067', '0.5268', '0.5232', '0.5864', '0.4577']","['0.4968', '0.5051', '0.2778', '0.2958', '0.4410', '0.3487', '0.4023', '0.3871', '0.4369', '0.4676']","['0.5008', '0.5042', '0.2151', '0.1780', '0.1125', '0.5067', '0.5268', '0.5232', '0.5864', '0.4577']","['0.4988', '0.5047', '0.2424', '0.2222', '0.1793', '0.4131', '0.4562', '0.4450', '0.5007', '0.4626']","['0.5008', '0.5042', '0.2151', '0.1780', '0.1125', '0.5067', '0.5268', '0.5232', '0.5864', '0.4577']","['0.9421', '0.9460', '0.9427', '0.9499', '0.9832', '0.8956', '0.9134', '0.9147', '0.9157', '0.9406']","[[308, 43, 20, 4, 5, 15, 12, 32, 149, 27], [17, 298, 4, 13, 2, 8, 13, 19, 115, 102], [62, 15, 120, 27, 27, 98, 97, 75, 21, 16], [12, 20, 39, 113, 8, 201, 114, 68, 12, 48], [46, 18, 125, 36, 71, 72, 132, 101, 18, 12], [17, 10, 43, 61, 7, 302, 40, 86, 9, 21], [8, 14, 43, 70, 30, 54, 315, 37, 5, 22], [26, 15, 29, 31, 11, 89, 31, 293, 10, 25], [100, 58, 4, 5, 0, 16, 4, 15, 353, 47], [24, 99, 5, 22, 0, 11, 25, 31, 116, 281]]","[5, 7, 8, 5, 9, 6, 1, 1, 2, 7, 8, 0, 5, 8, 2, 8, 1, 3, 2, 5, 8, 4, 2, 8, 1, 0, 5, 9, 1, 2, 8, 9]","[5, 7, 8, 5, 9, 6, 1, 1, 2, 7, 8, 0, 5, 8, 2, 8, 1, 3, 2, 5, 8, 4, 2, 8, 1, 0, 5, 9, 1, 2, 8, 9]"
5,"['0.5073', '0.4552', '0.2778', '0.2882', '0.1585', '0.4782', '0.5435', '0.4857', '0.5199', '0.4609']","['0.4756', '0.5810', '0.2719', '0.3055', '0.4292', '0.3493', '0.4271', '0.3988', '0.4801', '0.4982']","['0.5073', '0.4552', '0.2778', '0.2882', '0.1585', '0.4782', '0.5435', '0.4857', '0.5199', '0.4609']","['0.4910', '0.5104', '0.2748', '0.2966', '0.2315', '0.4037', '0.4783', '0.4380', '0.4992', '0.4788']","['0.5073', '0.4552', '0.2778', '0.2882', '0.1585', '0.4782', '0.5435', '0.4857', '0.5199', '0.4609']","['0.9361', '0.9641', '0.9237', '0.9225', '0.9752', '0.9017', '0.9193', '0.9246', '0.9372', '0.9471']","[[312, 24, 46, 11, 10, 20, 13, 33, 118, 28], [28, 269, 4, 27, 2, 8, 20, 24, 100, 109], [57, 9, 155, 38, 38, 96, 87, 60, 3, 15], [7, 6, 52, 183, 13, 179, 102, 57, 8, 28], [40, 13, 140, 58, 100, 61, 119, 81, 8, 11], [12, 6, 56, 106, 8, 285, 39, 66, 5, 13], [10, 4, 47, 77, 37, 50, 325, 32, 2, 14], [15, 14, 45, 50, 21, 96, 25, 272, 6, 16], [136, 44, 12, 12, 2, 12, 6, 14, 313, 51], [39, 74, 13, 37, 2, 9, 25, 43, 89, 283]]","[4, 6, 9, 9, 4, 9, 9, 4, 9, 4, 5, 5, 2, 8, 2, 0, 5, 3, 2, 3, 8, 3, 7, 4, 3, 2, 0, 7, 7, 7, 3, 3]","[4, 6, 9, 9, 4, 9, 9, 4, 9, 4, 5, 5, 2, 8, 2, 0, 5, 3, 2, 3, 8, 3, 7, 4, 3, 2, 0, 7, 7, 7, 3, 3]"
6,"['0.5073', '0.5262', '0.2348', '0.2362', '0.1680', '0.4362', '0.5652', '0.5518', '0.5847', '0.5000']","['0.4822', '0.5362', '0.3090', '0.3597', '0.3869', '0.4012', '0.4246', '0.3921', '0.4687', '0.4548']","['0.5073', '0.5262', '0.2348', '0.2362', '0.1680', '0.4362', '0.5652', '0.5518', '0.5847', '0.5000']","['0.4945', '0.5312', '0.2668', '0.2852', '0.2343', '0.4180', '0.4849', '0.4585', '0.5203', '0.4763']","['0.5073', '0.5262', '0.2348', '0.2362', '0.1680', '0.4362', '0.5652', '0.5518', '0.5847', '0.5000']","['0.9378', '0.9503', '0.9462', '0.9502', '0.9687', '0.9282', '0.9152', '0.9119', '0.9261', '0.9317']","[[312, 32, 27, 4, 9, 17, 15, 26, 147, 26], [25, 311, 2, 12, 5, 4, 11, 14, 100, 107], [61, 16, 131, 26, 47, 73, 90, 85, 10, 19], [15, 18, 43, 150, 15, 141, 112, 77, 12, 52], [51, 18, 97, 37, 106, 41, 132, 115, 14, 20], [14, 11, 47, 76, 14, 260, 49, 95, 7, 23], [9, 13, 33, 53, 49, 31, 338, 31, 4, 37], [19, 15, 32, 32, 22, 63, 28, 309, 7, 33], [114, 44, 6, 7, 5, 11, 3, 9, 352, 51], [27, 102, 6, 20, 2, 7, 18, 27, 98, 307]]","[9, 2, 1, 5, 1, 9, 8, 5, 7, 3, 7, 1, 3, 9, 9, 3, 0, 8, 3, 0, 7, 4, 2, 2, 2, 9, 4, 2, 2, 0, 5, 3]","[9, 2, 1, 5, 1, 9, 8, 5, 7, 3, 7, 1, 3, 9, 9, 3, 0, 8, 3, 0, 7, 4, 2, 2, 2, 9, 4, 2, 2, 0, 5, 3]"
7,"['0.5154', '0.5245', '0.2527', '0.2961', '0.2409', '0.4413', '0.5067', '0.4911', '0.5930', '0.4593']","['0.4818', '0.5167', '0.3092', '0.3253', '0.4097', '0.3806', '0.4640', '0.4310', '0.4704', '0.4732']","['0.5154', '0.5245', '0.2527', '0.2961', '0.2409', '0.4413', '0.5067', '0.4911', '0.5930', '0.4593']","['0.4980', '0.5206', '0.2781', '0.3100', '0.3034', '0.4087', '0.4844', '0.4591', '0.5246', '0.4661']","['0.5154', '0.5245', '0.2527', '0.2961', '0.2409', '0.4413', '0.5067', '0.4911', '0.5930', '0.4593']","['0.9367', '0.9464', '0.9421', '0.9273', '0.9592', '0.9208', '0.9352', '0.9333', '0.9255', '0.9417']","[[317, 32, 28, 7, 17, 17, 8, 15, 150, 24], [24, 310, 3, 19, 9, 5, 10, 11, 106, 94], [67, 14, 141, 42, 59, 73, 73, 62, 8, 19], [11, 22, 48, 188, 14, 161, 84, 55, 10, 42], [49, 17, 95, 52, 152, 47, 105, 83, 15, 16], [15, 12, 53, 110, 15, 263, 29, 75, 6, 18], [11, 17, 43, 74, 54, 39, 303, 26, 3, 28], [25, 17, 29, 47, 42, 69, 23, 275, 5, 28], [111, 49, 5, 8, 8, 9, 2, 8, 357, 45], [28, 110, 11, 31, 1, 8, 16, 28, 99, 282]]","[2, 6, 5, 3, 2, 6, 9, 2, 4, 2, 9, 9, 6, 8, 8, 1, 4, 5, 6, 3, 3, 6, 4, 4, 5, 4, 4, 3, 6, 2, 1, 8]","[2, 6, 5, 3, 2, 6, 9, 2, 4, 2, 9, 9, 6, 8, 8, 1, 4, 5, 6, 3, 3, 6, 4, 4, 5, 4, 4, 3, 6, 2, 1, 8]"
8,"['0.5203', '0.5195', '0.1953', '0.3055', '0.2964', '0.4094', '0.5602', '0.4911', '0.5714', '0.4853']","['0.5104', '0.5330', '0.3169', '0.3316', '0.3652', '0.3843', '0.4339', '0.4250', '0.4986', '0.4869']","['0.5203', '0.5195', '0.1953', '0.3055', '0.2964', '0.4094', '0.5602', '0.4911', '0.5714', '0.4853']","['0.5153', '0.5261', '0.2417', '0.3180', '0.3272', '0.3964', '0.4891', '0.4557', '0.5325', '0.4861']","['0.5203', '0.5195', '0.1953', '0.3055', '0.2964', '0.4094', '0.5602', '0.4911', '0.5714', '0.4853']","['0.9430', '0.9503', '0.9568', '0.9271', '0.9395', '0.9276', '0.9191', '0.9316', '0.9359', '0.9417']","[[320, 25, 28, 12, 18, 15, 12, 22, 133, 30], [27, 307, 2, 19, 9, 6, 15, 14, 92, 100], [54, 15, 109, 42, 94, 74, 73, 66, 10, 21], [6, 20, 37, 194, 22, 141, 111, 55, 6, 43], [40, 17, 71, 47, 187, 45, 119, 79, 12, 14], [10, 10, 41, 113, 33, 244, 45, 78, 6, 16], [9, 14, 19, 62, 79, 30, 335, 22, 3, 25], [18, 14, 18, 49, 59, 63, 35, 275, 4, 25], [119, 50, 7, 14, 8, 9, 5, 6, 344, 40], [24, 104, 12, 33, 3, 8, 22, 30, 80, 298]]","[8, 8, 6, 9, 2, 7, 2, 4, 6, 7, 5, 3, 8, 2, 6, 0, 4, 5, 6, 9, 2, 4, 1, 1, 6, 6, 2, 8, 5, 3, 0, 2]","[8, 8, 6, 9, 2, 7, 2, 4, 6, 7, 5, 3, 8, 2, 6, 0, 4, 5, 6, 9, 2, 4, 1, 1, 6, 6, 2, 8, 5, 3, 0, 2]"
9,"['0.5073', '0.5076', '0.2491', '0.2740', '0.3059', '0.3943', '0.5870', '0.4893', '0.5831', '0.4625']","['0.4992', '0.5545', '0.3357', '0.3385', '0.3899', '0.3878', '0.4239', '0.4145', '0.4930', '0.4702']","['0.5073', '0.5076', '0.2491', '0.2740', '0.3059', '0.3943', '0.5870', '0.4893', '0.5831', '0.4625']","['0.5032', '0.5300', '0.2860', '0.3029', '0.3428', '0.3910', '0.4923', '0.4488', '0.5342', '0.4663']","['0.5073', '0.5076', '0.2491', '0.2740', '0.3059', '0.3943', '0.5870', '0.4893', '0.5831', '0.4625']","['0.9419', '0.9554', '0.9495', '0.9366', '0.9438', '0.9313', '0.9117', '0.9289', '0.9331', '0.9406']","[[312, 25, 36, 9, 21, 13, 16, 22, 135, 26], [29, 300, 3, 19, 7, 6, 16, 13, 99, 99], [49, 14, 139, 31, 84, 64, 83, 66, 10, 18], [12, 14, 36, 174, 28, 144, 121, 56, 6, 44], [37, 14, 65, 41, 193, 41, 130, 79, 14, 17], [11, 7, 48, 106, 31, 235, 52, 81, 7, 18], [11, 9, 32, 48, 61, 26, 351, 26, 3, 31], [17, 13, 34, 43, 54, 61, 35, 274, 5, 24], [111, 47, 6, 11, 10, 9, 5, 9, 351, 43], [36, 98, 15, 32, 6, 7, 19, 35, 82, 284]]","[8, 7, 0, 7, 4, 4, 8, 8, 4, 3, 7, 9, 4, 9, 6, 9, 3, 8, 7, 3, 1, 3, 0, 3, 7, 2, 4, 6, 0, 8, 8, 0]","[8, 7, 0, 7, 4, 4, 8, 8, 4, 3, 7, 9, 4, 9, 6, 9, 3, 8, 7, 3, 1, 3, 0, 3, 7, 2, 4, 6, 0, 8, 8, 0]"
10,"['0.4894', '0.5668', '0.2975', '0.3087', '0.2583', '0.3758', '0.5067', '0.5071', '0.5864', '0.4886']","['0.5110', '0.5138', '0.3274', '0.3278', '0.3890', '0.3951', '0.4577', '0.4201', '0.5094', '0.4710']","['0.4894', '0.5668', '0.2975', '0.3087', '0.2583', '0.3758', '0.5067', '0.5071', '0.5864', '0.4886']","['0.5000', '0.5390', '0.3117', '0.3179', '0.3105', '0.3852', '0.4810', '0.4595', '0.5452', '0.4796']","['0.4894', '0.5668', '0.2975', '0.3087', '0.2583', '0.3758', '0.5067', '0.5071', '0.5864', '0.4886']","['0.9465', '0.9414', '0.9373', '0.9251', '0.9523', '0.9365', '0.9335', '0.9279', '0.9370', '0.9374']","[[301, 35, 35, 5, 20, 13, 14, 16, 141, 35], [21, 335, 6, 16, 7, 5, 11, 10, 86, 94], [48, 17, 166, 45, 67, 56, 64, 67, 9, 19], [9, 21, 50, 196, 27, 129, 86, 66, 5, 46], [39, 20, 97, 52, 163, 44, 104, 82, 10, 20], [13, 13, 56, 121, 23, 224, 34, 89, 7, 16], [11, 17, 45, 76, 59, 30, 303, 24, 3, 30], [16, 17, 35, 44, 45, 55, 26, 284, 4, 34], [104, 57, 5, 12, 7, 6, 6, 9, 353, 43], [27, 120, 12, 31, 1, 5, 14, 29, 75, 300]]","[5, 9, 9, 9, 4, 4, 9, 3, 8, 5, 6, 6, 4, 7, 7, 5, 8, 3, 0, 4, 0, 0, 4, 8, 8, 8, 9, 7, 1, 7, 0, 3]","[5, 9, 9, 9, 4, 4, 9, 3, 8, 5, 6, 6, 4, 7, 7, 5, 8, 3, 0, 4, 0, 0, 4, 8, 8, 8, 9, 7, 1, 7, 0, 3]"
11,"['0.4911', '0.5381', '0.2760', '0.3087', '0.3281', '0.3574', '0.5552', '0.4446', '0.6113', '0.4658']","['0.5110', '0.5146', '0.3532', '0.3197', '0.3798', '0.3698', '0.4505', '0.4527', '0.4946', '0.4847']","['0.4911', '0.5381', '0.2760', '0.3087', '0.3281', '0.3574', '0.5552', '0.4446', '0.6113', '0.4658']","['0.5008', '0.5261', '0.3099', '0.3141', '0.3520', '0.3635', '0.4974', '0.4486', '0.5468', '0.4751']","['0.4911', '0.5381', '0.2760', '0.3087', '0.3281', '0.3574', '0.5552', '0.4446', '0.6113', '0.4658']","['0.9463', '0.9445', '0.9482', '0.9223', '0.9370', '0.9328', '0.9250', '0.9447', '0.9303', '0.9436']","[[302, 32, 36, 4, 22, 12, 12, 19, 146, 30], [25, 318, 5, 20, 9, 5, 11, 9, 97, 92], [46, 14, 154, 39, 80, 65, 77, 52, 11, 20], [10, 16, 47, 196, 41, 137, 96, 43, 10, 39], [41, 21, 71, 51, 207, 37, 109, 68, 10, 16], [13, 12, 47, 138, 38, 213, 41, 72, 7, 15], [10, 16, 29, 65, 76, 27, 332, 12, 3, 28], [21, 17, 29, 52, 59, 69, 35, 249, 6, 23], [95, 54, 7, 15, 6, 5, 6, 5, 368, 41], [28, 118, 11, 33, 7, 6, 18, 21, 86, 286]]","[7, 0, 9, 6, 6, 7, 1, 3, 9, 3, 7, 1, 7, 0, 0, 6, 2, 3, 3, 8, 7, 7, 2, 9, 7, 6, 6, 7, 2, 8, 4, 4]","[7, 0, 9, 6, 6, 7, 1, 3, 9, 3, 7, 1, 7, 0, 0, 6, 2, 3, 3, 8, 7, 7, 2, 9, 7, 6, 6, 7, 2, 8, 4, 4]"
12,"['0.5203', '0.5685', '0.2616', '0.2425', '0.3439', '0.3691', '0.5284', '0.4875', '0.5930', '0.4577']","['0.4834', '0.5130', '0.3209', '0.3333', '0.4125', '0.3833', '0.4547', '0.4081', '0.5042', '0.4731']","['0.5203', '0.5685', '0.2616', '0.2425', '0.3439', '0.3691', '0.5284', '0.4875', '0.5930', '0.4577']","['0.5012', '0.5393', '0.2883', '0.2808', '0.3751', '0.3761', '0.4888', '0.4443', '0.5450', '0.4652']","['0.5203', '0.5685', '0.2616', '0.2425', '0.3439', '0.3691', '0.5284', '0.4875', '0.5930', '0.4577']","['0.9365', '0.9410', '0.9432', '0.9426', '0.9424', '0.9345', '0.9298', '0.9272', '0.9350', '0.9419']","[[320, 34, 29, 3, 18, 11, 15, 16, 139, 30], [29, 336, 6, 17, 10, 5, 9, 11, 83, 85], [61, 15, 146, 36, 78, 59, 70, 65, 9, 19], [14, 24, 57, 154, 38, 135, 96, 62, 9, 46], [44, 19, 66, 35, 217, 43, 98, 82, 9, 18], [16, 12, 62, 101, 31, 220, 37, 90, 6, 21], [14, 13, 37, 47, 77, 29, 316, 29, 4, 32], [23, 19, 39, 33, 47, 63, 32, 273, 6, 25], [106, 59, 6, 12, 6, 5, 3, 11, 357, 37], [35, 124, 7, 24, 4, 4, 19, 30, 86, 281]]","[7, 3, 3, 5, 9, 9, 1, 9, 7, 1, 0, 9, 7, 7, 5, 2, 9, 7, 6, 5, 4, 4, 7, 1, 6, 6, 5, 5, 6, 3, 0, 5]","[7, 3, 3, 5, 9, 9, 1, 9, 7, 1, 0, 9, 7, 7, 5, 2, 9, 7, 6, 5, 4, 4, 7, 1, 6, 6, 5, 5, 6, 3, 0, 5]"
13,"['0.4829', '0.5313', '0.2599', '0.2740', '0.3265', '0.4144', '0.4849', '0.4625', '0.6130', '0.5098']","['0.5211', '0.5349', '0.3072', '0.3439', '0.3985', '0.3627', '0.4662', '0.4218', '0.4933', '0.4583']","['0.4829', '0.5313', '0.2599', '0.2740', '0.3265', '0.4144', '0.4849', '0.4625', '0.6130', '0.5098']","['0.5013', '0.5331', '0.2816', '0.3050', '0.3589', '0.3868', '0.4754', '0.4412', '0.5467', '0.4827']","['0.4829', '0.5313', '0.2599', '0.2740', '0.3265', '0.4144', '0.4849', '0.4625', '0.6130', '0.5098']","['0.9493', '0.9495', '0.9399', '0.9381', '0.9421', '0.9197', '0.9385', '0.9347', '0.9298', '0.9313']","[[297, 28, 29, 8, 20, 15, 11, 18, 151, 38], [22, 314, 7, 18, 8, 4, 10, 12, 94, 102], [49, 14, 145, 35, 81, 83, 62, 53, 12, 24], [10, 21, 48, 174, 30, 156, 85, 56, 3, 52], [40, 15, 79, 39, 206, 51, 88, 80, 15, 18], [12, 11, 60, 102, 30, 247, 28, 80, 7, 19], [11, 10, 42, 57, 87, 39, 290, 20, 3, 39], [18, 19, 43, 41, 49, 70, 28, 259, 4, 29], [87, 54, 9, 10, 3, 7, 3, 11, 369, 49], [24, 101, 10, 22, 3, 9, 17, 25, 90, 313]]","[7, 4, 0, 3, 5, 5, 8, 2, 3, 3, 2, 7, 4, 6, 3, 0, 9, 9, 0, 5, 9, 0, 3, 8, 7, 0, 7, 7, 4, 4, 2, 9]","[7, 4, 0, 3, 5, 5, 8, 2, 3, 3, 2, 7, 4, 6, 3, 0, 9, 9, 0, 5, 9, 0, 3, 8, 7, 0, 7, 7, 4, 4, 2, 9]"
14,"['0.4943', '0.5499', '0.2366', '0.3260', '0.2932', '0.3775', '0.5067', '0.5125', '0.5515', '0.4805']","['0.5058', '0.5070', '0.3501', '0.3058', '0.3862', '0.3577', '0.4647', '0.4054', '0.5363', '0.4781']","['0.4943', '0.5499', '0.2366', '0.3260', '0.2932', '0.3775', '0.5067', '0.5125', '0.5515', '0.4805']","['0.5000', '0.5276', '0.2824', '0.3155', '0.3333', '0.3673', '0.4848', '0.4527', '0.5438', '0.4793']","['0.4943', '0.5499', '0.2366', '0.3260', '0.2932', '0.3775', '0.5067', '0.5125', '0.5515', '0.4805']","['0.9448', '0.9416', '0.9550', '0.9124', '0.9452', '0.9252', '0.9354', '0.9226', '0.9468', '0.9402']","[[304, 39, 33, 6, 23, 18, 14, 19, 124, 35], [28, 325, 6, 24, 10, 4, 13, 13, 68, 100], [49, 15, 132, 48, 76, 78, 67, 66, 7, 20], [10, 19, 30, 207, 27, 154, 77, 69, 1, 41], [35, 21, 69, 57, 185, 44, 102, 93, 8, 17], [9, 10, 37, 145, 30, 225, 29, 90, 6, 15], [11, 11, 26, 85, 76, 28, 303, 31, 3, 24], [16, 17, 26, 50, 43, 68, 25, 287, 4, 24], [109, 68, 8, 20, 5, 4, 4, 6, 332, 46], [30, 116, 10, 35, 4, 6, 18, 34, 66, 295]]","[0, 3, 0, 6, 9, 3, 2, 6, 7, 0, 5, 6, 8, 5, 9, 0, 0, 7, 4, 7, 2, 2, 3, 9, 0, 9, 9, 5, 6, 4, 4, 0]","[0, 3, 0, 6, 9, 3, 2, 6, 7, 0, 5, 6, 8, 5, 9, 0, 0, 7, 4, 7, 2, 2, 3, 9, 0, 9, 9, 5, 6, 4, 4, 0]"
15,"['0.4976', '0.5719', '0.2742', '0.2031', '0.4041', '0.2768', '0.5452', '0.4661', '0.6113', '0.4495']","['0.4774', '0.5067', '0.3305', '0.3534', '0.3441', '0.4167', '0.4352', '0.4009', '0.5034', '0.4631']","['0.4976', '0.5719', '0.2742', '0.2031', '0.4041', '0.2768', '0.5452', '0.4661', '0.6113', '0.4495']","['0.4873', '0.5374', '0.2997', '0.2580', '0.3717', '0.3327', '0.4840', '0.4310', '0.5521', '0.4562']","['0.4976', '0.5719', '0.2742', '0.2031', '0.4041', '0.2768', '0.5452', '0.4661', '0.6113', '0.4495']","['0.9378', '0.9392', '0.9430', '0.9560', '0.9095', '0.9573', '0.9217', '0.9283', '0.9328', '0.9406']","[[306, 33, 34, 2, 29, 2, 10, 21, 145, 33], [29, 338, 3, 10, 14, 1, 20, 14, 85, 77], [53, 15, 153, 25, 114, 52, 63, 53, 7, 23], [15, 28, 57, 129, 65, 97, 121, 68, 9, 46], [42, 22, 65, 26, 255, 19, 92, 81, 12, 17], [14, 13, 65, 97, 64, 165, 57, 90, 9, 22], [14, 15, 35, 28, 107, 17, 326, 23, 3, 30], [26, 19, 38, 26, 79, 38, 33, 261, 4, 36], [103, 58, 6, 8, 6, 3, 6, 8, 368, 36], [39, 126, 7, 14, 8, 2, 21, 32, 89, 276]]","[9, 2, 6, 8, 4, 0, 2, 8, 7, 8, 3, 2, 7, 7, 1, 5, 6, 7, 0, 0, 4, 2, 2, 7, 7, 9, 8, 0, 6, 6, 7, 7]","[9, 2, 6, 8, 4, 0, 2, 8, 7, 8, 3, 2, 7, 7, 1, 5, 6, 7, 0, 0, 4, 2, 2, 7, 7, 9, 8, 0, 6, 6, 7, 7]"
