cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.0000', '0.7847', '0.0000', '0.5484', '0.4719', '0.9510', '0.0000', '0.0014', '0.4580', '0.9147']","['0.0000', '0.6847', '0.0000', '0.2531', '0.4236', '0.2548', '0.0000', '0.0208', '0.7797', '0.8144']","['0.0000', '0.7847', '0.0000', '0.5484', '0.4719', '0.9510', '0.0000', '0.0014', '0.4580', '0.9147']","['0.0000', '0.7313', '0.0000', '0.3464', '0.4465', '0.4019', '0.0000', '0.0026', '0.5771', '0.8617']","['0.0000', '0.7847', '0.0000', '0.5484', '0.4719', '0.9510', '0.0000', '0.0014', '0.4580', '0.9147']","['1.0000', '0.9604', '1.0000', '0.8196', '0.9314', '0.6835', '1.0000', '0.9925', '0.9855', '0.9763']","[[0, 58, 0, 419, 24, 179, 0, 2, 15, 1], [0, 543, 0, 64, 5, 79, 0, 0, 1, 0], [0, 24, 0, 195, 231, 206, 0, 10, 24, 0], [0, 112, 0, 385, 7, 191, 0, 6, 1, 0], [0, 16, 0, 223, 319, 96, 0, 1, 21, 0], [0, 0, 0, 0, 0, 680, 0, 1, 0, 34], [0, 35, 0, 231, 148, 254, 0, 6, 28, 0], [0, 0, 0, 0, 0, 595, 0, 1, 0, 111], [0, 2, 0, 4, 19, 332, 0, 21, 322, 3], [0, 3, 0, 0, 0, 57, 0, 0, 1, 654]]",-1,-1,-1,-1
1,"['0.0000', '0.9162', '0.1580', '0.4957', '0.6953', '0.5706', '0.0456', '0.8034', '0.7383', '0.9469']","['0.0000', '0.5774', '0.3516', '0.2782', '0.3871', '0.6581', '0.3137', '0.6121', '0.8494', '0.7818']","['0.0000', '0.9162', '0.1580', '0.4957', '0.6953', '0.5706', '0.0456', '0.8034', '0.7383', '0.9469']","['0.0000', '0.7084', '0.2180', '0.3564', '0.4974', '0.6112', '0.0796', '0.6948', '0.7900', '0.8564']","['0.0000', '0.9162', '0.1580', '0.4957', '0.6953', '0.5706', '0.0456', '0.8034', '0.7383', '0.9469']","['1.0000', '0.9264', '0.9681', '0.8566', '0.8824', '0.9663', '0.9889', '0.9428', '0.9854', '0.9699']","[[0, 88, 31, 455, 77, 21, 9, 2, 13, 2], [0, 634, 1, 43, 11, 2, 0, 1, 0, 0], [0, 15, 109, 88, 377, 36, 37, 1, 25, 2], [0, 296, 21, 348, 28, 5, 1, 1, 2, 0], [0, 15, 46, 101, 470, 14, 11, 0, 19, 0], [0, 6, 0, 0, 0, 408, 0, 242, 3, 56], [0, 42, 96, 212, 232, 56, 32, 4, 27, 1], [0, 0, 0, 0, 0, 14, 0, 568, 1, 124], [0, 1, 6, 4, 19, 50, 12, 88, 519, 4], [0, 1, 0, 0, 0, 14, 0, 21, 2, 677]]","[6, 2, 6, 6, 2, 6, 2, 6, 6, 2, 2, 8, 4, 4, 6, 6]","[6, 2, 6, 6, 2, 6, 2, 6, 6, 2, 2, 8, 4, 4, 6, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
2,"['0.3983', '0.9176', '0.4290', '0.4174', '0.3107', '0.5664', '0.3419', '0.7284', '0.8293', '0.9720']","['0.8373', '0.6071', '0.3503', '0.4835', '0.5676', '0.8438', '0.2572', '0.6903', '0.8511', '0.7262']","['0.3983', '0.9176', '0.4290', '0.4174', '0.3107', '0.5664', '0.3419', '0.7284', '0.8293', '0.9720']","['0.5398', '0.7307', '0.3857', '0.4480', '0.4015', '0.6778', '0.2936', '0.7089', '0.8401', '0.8313']","['0.3983', '0.9176', '0.4290', '0.4174', '0.3107', '0.5664', '0.3419', '0.7284', '0.8293', '0.9720']","['0.9914', '0.9348', '0.9130', '0.9503', '0.9747', '0.9881', '0.8900', '0.9633', '0.9838', '0.9583']","[[278, 62, 85, 143, 6, 2, 108, 0, 14, 0], [0, 635, 13, 30, 2, 1, 10, 1, 0, 0], [0, 10, 296, 7, 64, 1, 283, 0, 28, 1], [5, 295, 31, 293, 13, 0, 61, 0, 4, 0], [0, 10, 183, 47, 210, 0, 206, 0, 20, 0], [0, 8, 9, 0, 0, 405, 0, 190, 7, 96], [49, 25, 199, 86, 72, 4, 240, 0, 27, 0], [0, 0, 0, 0, 0, 29, 0, 515, 1, 162], [0, 1, 29, 0, 3, 29, 25, 30, 583, 3], [0, 0, 0, 0, 0, 9, 0, 10, 1, 695]]","[2, 2, 2, 6, 0, 6, 6, 6, 0, 2, 4, 6, 2, 2, 0, 2]","[2, 2, 2, 6, 0, 6, 6, 6, 0, 2, 4, 6, 2, 2, 0, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
3,"['0.5817', '0.8960', '0.4043', '0.4245', '0.0222', '0.7007', '0.4630', '0.8190', '0.8378', '0.9189']","['0.6285', '0.7346', '0.3440', '0.6914', '0.5556', '0.8186', '0.2350', '0.7385', '0.8675', '0.8391']","['0.5817', '0.8960', '0.4043', '0.4245', '0.0222', '0.7007', '0.4630', '0.8190', '0.8378', '0.9189']","['0.6042', '0.8073', '0.3718', '0.5260', '0.0427', '0.7551', '0.3118', '0.7767', '0.8524', '0.8772']","['0.5817', '0.8960', '0.4043', '0.4245', '0.0222', '0.7007', '0.4630', '0.8190', '0.8378', '0.9189']","['0.9619', '0.9645', '0.9157', '0.9789', '0.9981', '0.9823', '0.8320', '0.9674', '0.9857', '0.9800']","[[406, 16, 101, 50, 2, 3, 105, 0, 15, 0], [29, 620, 17, 14, 1, 2, 9, 0, 0, 0], [7, 4, 279, 4, 1, 1, 370, 0, 24, 0], [92, 187, 26, 298, 3, 0, 94, 0, 2, 0], [11, 7, 160, 25, 15, 0, 443, 0, 15, 0], [0, 2, 3, 0, 0, 501, 0, 142, 13, 54], [101, 7, 201, 40, 5, 3, 325, 0, 20, 0], [0, 0, 0, 0, 0, 58, 0, 579, 0, 70], [0, 1, 24, 0, 0, 26, 37, 24, 589, 2], [0, 0, 0, 0, 0, 18, 0, 39, 1, 657]]","[8, 0, 4, 3, 2, 6, 5, 2, 0, 8, 2, 3, 0, 2, 2, 0]","[8, 0, 4, 3, 2, 6, 5, 2, 0, 8, 2, 3, 0, 2, 2, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
4,"['0.6246', '0.8772', '0.2275', '0.6624', '0.3846', '0.5916', '0.4658', '0.8147', '0.8720', '0.9524']","['0.6527', '0.9281', '0.3312', '0.7035', '0.4833', '0.8924', '0.2764', '0.7282', '0.8770', '0.7937']","['0.6246', '0.8772', '0.2275', '0.6624', '0.3846', '0.5916', '0.4658', '0.8147', '0.8720', '0.9524']","['0.6384', '0.9019', '0.2698', '0.6823', '0.4283', '0.7115', '0.3469', '0.7690', '0.8745', '0.8659']","['0.6246', '0.8772', '0.2275', '0.6624', '0.3846', '0.5916', '0.4658', '0.8147', '0.8720', '0.9524']","['0.9632', '0.9925', '0.9498', '0.9689', '0.9560', '0.9919', '0.8641', '0.9658', '0.9863', '0.9718']","[[436, 2, 44, 74, 25, 2, 101, 0, 14, 0], [29, 607, 13, 28, 9, 0, 5, 0, 1, 0], [11, 0, 157, 4, 106, 0, 398, 0, 14, 0], [83, 39, 8, 465, 45, 0, 58, 0, 3, 1], [7, 2, 107, 34, 260, 0, 260, 0, 6, 0], [0, 2, 7, 0, 0, 423, 2, 180, 28, 73], [102, 2, 106, 54, 90, 2, 327, 0, 19, 0], [0, 0, 0, 0, 0, 30, 0, 576, 0, 101], [0, 0, 32, 2, 3, 7, 32, 12, 613, 2], [0, 0, 0, 0, 0, 10, 0, 23, 1, 681]]","[4, 5, 5, 3, 0, 0, 4, 3, 0, 8, 0, 8, 2, 3, 5, 2]","[4, 5, 5, 3, 0, 0, 4, 3, 0, 8, 0, 8, 2, 3, 5, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
5,"['0.6819', '0.8309', '0.1986', '0.7066', '0.6538', '0.6923', '0.3462', '0.8119', '0.8962', '0.9413']","['0.6485', '0.9812', '0.3948', '0.6918', '0.4599', '0.8808', '0.3131', '0.7705', '0.8434', '0.8158']","['0.6819', '0.8309', '0.1986', '0.7066', '0.6538', '0.6923', '0.3462', '0.8119', '0.8962', '0.9413']","['0.6648', '0.8998', '0.2642', '0.6991', '0.5400', '0.7753', '0.3288', '0.7906', '0.8690', '0.8740']","['0.6819', '0.8309', '0.1986', '0.7066', '0.6538', '0.6923', '0.3462', '0.8119', '0.8962', '0.9413']","['0.9591', '0.9983', '0.9667', '0.9649', '0.9179', '0.9893', '0.9154', '0.9728', '0.9814', '0.9758']","[[476, 0, 33, 76, 24, 3, 68, 0, 18, 0], [40, 575, 16, 49, 10, 0, 1, 0, 1, 0], [11, 0, 137, 5, 236, 0, 274, 0, 27, 0], [84, 8, 7, 496, 59, 0, 44, 0, 4, 0], [8, 0, 61, 31, 442, 0, 119, 0, 15, 0], [0, 2, 4, 0, 0, 495, 1, 131, 26, 56], [113, 1, 80, 56, 183, 2, 243, 0, 24, 0], [0, 0, 0, 0, 0, 39, 0, 574, 0, 94], [2, 0, 9, 4, 7, 9, 26, 14, 630, 2], [0, 0, 0, 0, 0, 14, 0, 26, 2, 673]]","[2, 0, 0, 2, 8, 8, 4, 6, 8, 0, 1, 3, 3, 3, 3, 8]","[2, 0, 0, 2, 8, 8, 4, 6, 8, 0, 1, 3, 3, 3, 3, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
6,"['0.6877', '0.7905', '0.7884', '0.7564', '0.2056', '0.6965', '0.1510', '0.7935', '0.9317', '0.9175']","['0.6887', '0.9927', '0.3600', '0.6444', '0.6070', '0.8513', '0.3354', '0.7824', '0.8291', '0.8410']","['0.6877', '0.7905', '0.7884', '0.7564', '0.2056', '0.6965', '0.1510', '0.7935', '0.9317', '0.9175']","['0.6882', '0.8801', '0.4943', '0.6959', '0.3072', '0.7662', '0.2083', '0.7879', '0.8774', '0.8776']","['0.6877', '0.7905', '0.7884', '0.7564', '0.2056', '0.6965', '0.1510', '0.7935', '0.9317', '0.9175']","['0.9656', '0.9994', '0.8468', '0.9535', '0.9858', '0.9862', '0.9667', '0.9752', '0.9786', '0.9803']","[[480, 0, 71, 85, 4, 3, 37, 0, 18, 0], [21, 547, 17, 95, 8, 0, 2, 0, 2, 0], [10, 0, 544, 5, 25, 0, 88, 0, 18, 0], [62, 2, 36, 531, 32, 0, 37, 0, 2, 0], [4, 0, 446, 38, 139, 0, 38, 0, 11, 0], [0, 1, 7, 1, 0, 498, 0, 111, 55, 42], [118, 1, 366, 66, 20, 1, 106, 0, 24, 0], [0, 0, 0, 0, 0, 66, 0, 561, 0, 80], [2, 0, 24, 3, 1, 0, 8, 8, 655, 2], [0, 0, 0, 0, 0, 17, 0, 37, 5, 656]]","[4, 6, 8, 8, 8, 0, 3, 0, 8, 8, 2, 4, 8, 0, 8, 8]","[4, 6, 8, 8, 8, 0, 3, 0, 8, 8, 2, 4, 8, 0, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
7,"['0.5716', '0.8931', '0.2971', '0.8120', '0.7027', '0.9119', '0.0028', '0.4158', '0.9147', '0.9399']","['0.7348', '0.9378', '0.4607', '0.5312', '0.4056', '0.6281', '0.6667', '0.9074', '0.7168', '0.7934']","['0.5716', '0.8931', '0.2971', '0.8120', '0.7027', '0.9119', '0.0028', '0.4158', '0.9147', '0.9399']","['0.6430', '0.9149', '0.3612', '0.6423', '0.5143', '0.7439', '0.0057', '0.5703', '0.8037', '0.8604']","['0.5716', '0.8931', '0.2971', '0.8120', '0.7027', '0.9119', '0.0028', '0.4158', '0.9147', '0.9399']","['0.9772', '0.9935', '0.9620', '0.9201', '0.8899', '0.9386', '0.9998', '0.9952', '0.9597', '0.9722']","[[399, 1, 18, 216, 16, 4, 0, 0, 44, 0], [8, 618, 2, 39, 21, 2, 0, 0, 2, 0], [8, 0, 205, 22, 394, 4, 0, 0, 56, 1], [31, 35, 10, 570, 32, 7, 0, 0, 11, 6], [1, 1, 54, 85, 475, 3, 1, 0, 56, 0], [0, 1, 0, 0, 0, 652, 0, 17, 7, 38], [94, 3, 155, 139, 225, 6, 2, 0, 78, 0], [0, 0, 0, 0, 0, 289, 0, 294, 0, 124], [2, 0, 1, 2, 8, 37, 0, 4, 643, 6], [0, 0, 0, 0, 0, 34, 0, 9, 0, 672]]","[8, 2, 2, 2, 6, 3, 3, 0, 2, 3, 3, 4, 4, 3, 4, 3]","[8, 2, 2, 2, 6, 3, 3, 0, 2, 3, 3, 4, 4, 3, 4, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
8,"['0.6447', '0.8757', '0.1449', '0.7151', '0.6538', '0.6615', '0.4915', '0.6662', '0.9275', '0.9552']","['0.7200', '0.9743', '0.5025', '0.6963', '0.5104', '0.7976', '0.3142', '0.8595', '0.7512', '0.7942']","['0.6447', '0.8757', '0.1449', '0.7151', '0.6538', '0.6615', '0.4915', '0.6662', '0.9275', '0.9552']","['0.6803', '0.9224', '0.2250', '0.7056', '0.5733', '0.7232', '0.3833', '0.7506', '0.8300', '0.8673']","['0.6447', '0.8757', '0.1449', '0.7151', '0.6538', '0.6615', '0.4915', '0.6662', '0.9275', '0.9552']","['0.9722', '0.9975', '0.9843', '0.9652', '0.9330', '0.9809', '0.8804', '0.9878', '0.9657', '0.9718']","[[450, 0, 8, 73, 18, 2, 126, 0, 21, 0], [7, 606, 7, 45, 24, 0, 1, 0, 2, 0], [19, 0, 100, 5, 163, 0, 393, 0, 10, 0], [43, 13, 2, 502, 80, 0, 53, 0, 9, 0], [2, 0, 38, 30, 442, 0, 158, 0, 6, 0], [0, 2, 0, 1, 0, 473, 2, 63, 132, 42], [100, 1, 34, 62, 134, 1, 345, 0, 25, 0], [0, 0, 0, 0, 0, 99, 0, 471, 4, 133], [4, 0, 10, 3, 5, 3, 20, 4, 652, 2], [0, 0, 0, 0, 0, 15, 0, 10, 7, 683]]","[2, 2, 4, 6, 4, 6, 3, 0, 2, 0, 4, 6, 6, 2, 6, 6]","[2, 2, 4, 6, 4, 6, 3, 0, 2, 0, 4, 6, 6, 2, 6, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
9,"['0.6791', '0.9075', '0.4130', '0.7664', '0.5562', '0.7902', '0.3319', '0.6973', '0.9232', '0.9413']","['0.7488', '0.9515', '0.4364', '0.6862', '0.5829', '0.8048', '0.3305', '0.8314', '0.8082', '0.8187']","['0.6791', '0.9075', '0.4130', '0.7664', '0.5562', '0.7902', '0.3319', '0.6973', '0.9232', '0.9413']","['0.7122', '0.9290', '0.4244', '0.7241', '0.5693', '0.7975', '0.3312', '0.7585', '0.8619', '0.8757']","['0.6791', '0.9075', '0.4130', '0.7664', '0.5562', '0.7902', '0.3319', '0.6973', '0.9232', '0.9413']","['0.9748', '0.9949', '0.9417', '0.9609', '0.9575', '0.9782', '0.9251', '0.9841', '0.9755', '0.9763']","[[474, 2, 22, 88, 5, 2, 83, 0, 22, 0], [6, 628, 12, 27, 17, 0, 0, 0, 2, 0], [8, 0, 285, 8, 110, 1, 254, 0, 24, 0], [39, 25, 17, 538, 42, 0, 31, 0, 10, 0], [1, 1, 153, 41, 376, 0, 74, 0, 30, 0], [0, 2, 7, 0, 0, 565, 2, 81, 21, 37], [103, 2, 153, 79, 92, 2, 233, 0, 38, 0], [0, 0, 0, 0, 0, 102, 0, 493, 2, 110], [2, 0, 4, 3, 3, 7, 28, 5, 649, 2], [0, 0, 0, 0, 0, 23, 0, 14, 5, 673]]","[8, 2, 0, 6, 6, 2, 2, 6, 3, 3, 1, 3, 6, 4, 2, 2]","[8, 2, 0, 6, 6, 2, 2, 6, 3, 3, 1, 3, 6, 4, 2, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
10,"['0.6777', '0.8844', '0.1681', '0.8704', '0.4882', '0.7427', '0.5370', '0.8091', '0.9175', '0.9133']","['0.7754', '0.9855', '0.4774', '0.6466', '0.6122', '0.8634', '0.3195', '0.7825', '0.8704', '0.8426']","['0.6777', '0.8844', '0.1681', '0.8704', '0.4882', '0.7427', '0.5370', '0.8091', '0.9175', '0.9133']","['0.7232', '0.9322', '0.2487', '0.7420', '0.5432', '0.7985', '0.4006', '0.7955', '0.8934', '0.8765']","['0.6777', '0.8844', '0.1681', '0.8704', '0.4882', '0.7427', '0.5370', '0.8091', '0.9175', '0.9133']","['0.9783', '0.9986', '0.9799', '0.9470', '0.9670', '0.9866', '0.8725', '0.9747', '0.9848', '0.9806']","[[473, 0, 3, 108, 5, 3, 87, 0, 19, 0], [5, 612, 11, 48, 12, 0, 2, 0, 2, 0], [9, 0, 116, 10, 104, 1, 441, 0, 9, 0], [20, 7, 2, 611, 18, 0, 40, 1, 3, 0], [1, 0, 76, 59, 330, 0, 201, 0, 9, 0], [0, 1, 4, 0, 0, 531, 0, 119, 26, 34], [100, 1, 29, 103, 67, 2, 377, 0, 23, 0], [0, 0, 0, 0, 0, 49, 0, 572, 0, 86], [2, 0, 2, 6, 3, 5, 32, 6, 645, 2], [0, 0, 0, 0, 0, 24, 0, 33, 5, 653]]","[4, 3, 6, 8, 6, 6, 0, 3, 3, 1, 8, 3, 3, 6, 8, 3]","[4, 3, 6, 8, 6, 6, 0, 3, 3, 1, 8, 3, 3, 6, 8, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
11,"['0.7264', '0.8829', '0.6261', '0.7849', '0.6716', '0.8448', '0.1026', '0.6761', '0.9218', '0.9217']","['0.7337', '0.9855', '0.4533', '0.6802', '0.5496', '0.7744', '0.3396', '0.8597', '0.8405', '0.8438']","['0.7264', '0.8829', '0.6261', '0.7849', '0.6716', '0.8448', '0.1026', '0.6761', '0.9218', '0.9217']","['0.7300', '0.9314', '0.5259', '0.7288', '0.6045', '0.8080', '0.1575', '0.7569', '0.8792', '0.8810']","['0.7264', '0.8829', '0.6261', '0.7849', '0.6716', '0.8448', '0.1026', '0.6761', '0.9218', '0.9217']","['0.9708', '0.9986', '0.9174', '0.9589', '0.9412', '0.9720', '0.9778', '0.9876', '0.9805', '0.9806']","[[507, 0, 30, 84, 10, 3, 41, 0, 23, 0], [6, 611, 9, 47, 16, 0, 1, 0, 2, 0], [8, 0, 432, 7, 170, 2, 61, 0, 10, 0], [51, 7, 26, 551, 47, 0, 11, 0, 9, 0], [0, 0, 155, 38, 454, 0, 14, 0, 15, 0], [0, 1, 4, 0, 0, 604, 0, 51, 25, 30], [117, 1, 277, 81, 123, 2, 72, 0, 29, 0], [0, 0, 0, 0, 0, 137, 0, 478, 2, 90], [2, 0, 20, 2, 6, 6, 12, 5, 648, 2], [0, 0, 0, 0, 0, 26, 0, 22, 8, 659]]","[8, 3, 0, 2, 4, 0, 8, 0, 0, 0, 0, 6, 0, 4, 4, 3]","[8, 3, 0, 2, 4, 0, 8, 0, 0, 0, 0, 6, 0, 4, 4, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
