cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.3093', '0.4638', '0.4129', '0.0917', '0.0800', '0.0261', '0.0000', '0.0017', '0.0000', '0.0000']","['0.1618', '0.1315', '0.1344', '0.1011', '0.1798', '0.1739', '0.0000', '0.2500', '0.0000', '0.0000']","['0.3093', '0.4638', '0.4129', '0.0917', '0.0800', '0.0261', '0.0000', '0.0017', '0.0000', '0.0000']","['0.2125', '0.2049', '0.2027', '0.0961', '0.1107', '0.0455', '0.0000', '0.0033', '0.0000', '0.0000']","['0.3093', '0.4638', '0.4129', '0.0917', '0.0800', '0.0261', '0.0000', '0.0017', '0.0000', '0.0000']","['0.8183', '0.6547', '0.7186', '0.9076', '0.9594', '0.9859', '1.0000', '0.9994', '0.9987', '1.0000']","[[189, 104, 266, 46, 3, 1, 0, 0, 2, 0], [151, 282, 68, 78, 22, 7, 0, 0, 0, 0], [63, 219, 237, 17, 29, 8, 0, 0, 1, 0], [56, 193, 236, 56, 44, 24, 0, 2, 0, 0], [68, 267, 183, 19, 48, 14, 0, 0, 1, 0], [58, 142, 254, 112, 28, 16, 0, 1, 1, 0], [46, 334, 142, 29, 47, 4, 0, 0, 2, 0], [108, 216, 187, 44, 29, 18, 0, 1, 0, 0], [243, 119, 127, 95, 8, 0, 0, 0, 0, 0], [186, 268, 64, 58, 9, 0, 0, 0, 0, 0]]",-1,-1,-1,-1
1,"['0.3879', '0.3405', '0.2334', '0.0540', '0.0467', '0.3595', '0.0563', '0.0000', '0.1216', '0.0034']","['0.2418', '0.1910', '0.1731', '0.1320', '0.1207', '0.1066', '0.1553', '0.0000', '0.1885', '0.1250']","['0.3879', '0.3405', '0.2334', '0.0540', '0.0467', '0.3595', '0.0563', '0.0000', '0.1216', '0.0034']","['0.2979', '0.2447', '0.1988', '0.0767', '0.0673', '0.1645', '0.0826', '0.0000', '0.1478', '0.0067']","['0.3879', '0.3405', '0.2334', '0.0540', '0.0467', '0.3595', '0.0563', '0.0000', '0.1216', '0.0034']","['0.8621', '0.8374', '0.8820', '0.9597', '0.9622', '0.6579', '0.9657', '1.0000', '0.9427', '0.9974']","[[237, 72, 158, 12, 9, 65, 9, 0, 49, 0], [98, 207, 14, 25, 22, 136, 39, 0, 65, 2], [57, 78, 134, 7, 27, 234, 19, 0, 16, 2], [45, 78, 92, 33, 31, 300, 15, 0, 13, 4], [34, 78, 68, 18, 28, 341, 12, 0, 19, 2], [62, 59, 109, 82, 38, 220, 19, 0, 19, 4], [29, 98, 59, 12, 32, 330, 34, 0, 10, 0], [74, 88, 65, 15, 14, 271, 39, 0, 37, 0], [233, 105, 55, 31, 26, 59, 11, 0, 72, 0], [111, 221, 20, 15, 5, 107, 22, 0, 82, 2]]","[6, 6, 5, 4, 6, 3, 6, 7, 4, 6, 1, 4, 3, 2, 5, 5]","[6, 6, 5, 4, 6, 3, 6, 7, 4, 6, 1, 4, 3, 2, 5, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 2. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 5. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",16
2,"['0.4845', '0.4359', '0.1829', '0.1015', '0.0233', '0.0866', '0.5993', '0.0000', '0.1368', '0.0564']","['0.2838', '0.2083', '0.1966', '0.1708', '0.1000', '0.2236', '0.1887', '0.0000', '0.2485', '0.2012']","['0.4845', '0.4359', '0.1829', '0.1015', '0.0233', '0.0866', '0.5993', '0.0000', '0.1368', '0.0564']","['0.3579', '0.2819', '0.1895', '0.1273', '0.0378', '0.1249', '0.2871', '0.0000', '0.1765', '0.0881']","['0.4845', '0.4359', '0.1829', '0.1015', '0.0233', '0.0866', '0.5993', '0.0000', '0.1368', '0.0564']","['0.8614', '0.8132', '0.9209', '0.9441', '0.9767', '0.9659', '0.7116', '0.9994', '0.9547', '0.9758']","[[296, 89, 99, 11, 5, 5, 45, 1, 46, 14], [90, 265, 6, 17, 18, 3, 134, 0, 63, 12], [70, 82, 105, 19, 15, 35, 225, 1, 5, 17], [53, 94, 62, 62, 23, 41, 254, 0, 10, 12], [44, 88, 52, 24, 14, 35, 324, 0, 10, 9], [60, 73, 70, 122, 21, 53, 184, 1, 9, 19], [20, 103, 54, 21, 17, 15, 362, 0, 5, 7], [78, 97, 58, 27, 7, 35, 262, 0, 21, 18], [233, 119, 18, 52, 18, 9, 39, 0, 81, 23], [99, 262, 10, 8, 2, 6, 89, 0, 76, 33]]","[2, 0, 4, 6, 1, 7, 6, 2, 6, 4, 4, 4, 6, 0, 2, 3]","[2, 0, 4, 6, 0, 7, 6, 2, 6, 4, 4, 4, 6, 0, 2, 3]","[[2. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 3. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 7. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 9. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",32
3,"['0.3879', '0.4901', '0.1916', '0.1129', '0.1400', '0.1520', '0.4189', '0.0182', '0.1605', '0.2154']","['0.3430', '0.2127', '0.1964', '0.1597', '0.2034', '0.1405', '0.2587', '0.1528', '0.3558', '0.2405']","['0.3879', '0.4901', '0.1916', '0.1129', '0.1400', '0.1520', '0.4189', '0.0182', '0.1605', '0.2154']","['0.3641', '0.2967', '0.1940', '0.1323', '0.1658', '0.1460', '0.3198', '0.0326', '0.2212', '0.2272']","['0.3879', '0.4901', '0.1916', '0.1129', '0.1400', '0.1520', '0.4189', '0.0182', '0.1605', '0.2154']","['0.9158', '0.7954', '0.9171', '0.9326', '0.9391', '0.8944', '0.8656', '0.9887', '0.9682', '0.9265']","[[237, 102, 107, 30, 4, 12, 12, 5, 46, 56], [63, 298, 5, 15, 10, 11, 71, 3, 43, 89], [51, 91, 110, 27, 61, 92, 106, 5, 2, 29], [26, 102, 75, 69, 65, 107, 120, 10, 3, 34], [23, 95, 51, 25, 84, 136, 157, 7, 6, 16], [27, 84, 68, 139, 53, 93, 99, 9, 5, 35], [8, 112, 48, 21, 67, 72, 253, 9, 1, 13], [46, 122, 69, 38, 43, 113, 110, 11, 12, 39], [162, 124, 15, 52, 23, 5, 22, 7, 95, 87], [48, 271, 12, 16, 3, 21, 28, 6, 54, 126]]","[4, 3, 5, 7, 2, 5, 0, 4, 2, 7, 7, 4, 4, 7, 4, 2]","[4, 3, 5, 7, 2, 5, 0, 4, 2, 7, 7, 4, 4, 7, 4, 2]","[[ 3.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  7.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  4.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. 12.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  5.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  9.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  6.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",48
4,"['0.4599', '0.3569', '0.2352', '0.0835', '0.2533', '0.1356', '0.3576', '0.0464', '0.1723', '0.2325']","['0.3264', '0.2503', '0.1849', '0.1609', '0.2068', '0.1554', '0.2517', '0.1049', '0.2890', '0.2845']","['0.4599', '0.3569', '0.2352', '0.0835', '0.2533', '0.1356', '0.3576', '0.0464', '0.1723', '0.2325']","['0.3818', '0.2942', '0.2071', '0.1099', '0.2277', '0.1449', '0.2955', '0.0644', '0.2159', '0.2559']","['0.4599', '0.3569', '0.2352', '0.0835', '0.2533', '0.1356', '0.3576', '0.0464', '0.1723', '0.2325']","['0.8924', '0.8795', '0.8903', '0.9506', '0.8920', '0.9163', '0.8810', '0.9557', '0.9536', '0.9368']","[[281, 70, 102, 9, 17, 6, 12, 16, 60, 38], [72, 217, 6, 9, 37, 14, 60, 34, 64, 95], [55, 52, 135, 22, 107, 64, 96, 15, 4, 24], [37, 57, 96, 51, 97, 101, 101, 36, 9, 26], [23, 40, 80, 25, 152, 96, 136, 23, 7, 18], [49, 50, 101, 109, 71, 83, 82, 35, 9, 23], [8, 60, 70, 21, 147, 45, 216, 20, 0, 17], [52, 72, 100, 30, 63, 101, 107, 28, 16, 34], [215, 80, 20, 32, 15, 9, 19, 33, 102, 67], [69, 169, 20, 9, 29, 15, 29, 27, 82, 136]]","[9, 6, 7, 3, 2, 4, 2, 9, 4, 4, 6, 5, 4, 4, 5, 7]","[9, 6, 7, 3, 2, 4, 2, 9, 4, 4, 6, 5, 4, 4, 5, 7]","[[ 3.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  9.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  5.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. 17.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  7.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. 11.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  8.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.]]",64
5,"['0.3388', '0.3010', '0.1951', '0.0917', '0.2867', '0.0850', '0.4520', '0.0365', '0.3176', '0.2256']","['0.3670', '0.2626', '0.1815', '0.1591', '0.1955', '0.1548', '0.2561', '0.0987', '0.2802', '0.2222']","['0.3388', '0.3010', '0.1951', '0.0917', '0.2867', '0.0850', '0.4520', '0.0365', '0.3176', '0.2256']","['0.3523', '0.2805', '0.1881', '0.1163', '0.2324', '0.1097', '0.3269', '0.0533', '0.2977', '0.2239']","['0.3388', '0.3010', '0.1951', '0.0917', '0.2867', '0.0850', '0.4520', '0.0365', '0.3176', '0.2256']","['0.9338', '0.9047', '0.9069', '0.9451', '0.8689', '0.9473', '0.8530', '0.9628', '0.9107', '0.9147']","[[207, 52, 115, 23, 19, 4, 14, 12, 101, 64], [54, 183, 2, 9, 39, 4, 67, 18, 117, 115], [36, 35, 112, 30, 146, 40, 110, 20, 15, 30], [26, 51, 74, 56, 123, 65, 131, 24, 21, 40], [16, 29, 64, 23, 172, 59, 174, 17, 20, 26], [25, 30, 80, 104, 101, 52, 106, 43, 29, 42], [4, 45, 44, 17, 151, 26, 273, 17, 4, 23], [35, 54, 91, 43, 89, 70, 133, 22, 31, 35], [126, 63, 21, 35, 16, 1, 23, 32, 188, 87], [35, 155, 14, 12, 24, 15, 35, 18, 145, 132]]","[6, 0, 5, 8, 9, 9, 4, 1, 3, 7, 3, 9, 2, 6, 5, 3]","[6, 0, 5, 8, 9, 9, 4, 1, 3, 7, 3, 9, 2, 6, 5, 3]","[[ 4.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  2.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. 10.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  8.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. 18.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  9.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. 13.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  9.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  5.]]",80
6,"['0.4124', '0.2220', '0.1725', '0.0736', '0.3050', '0.1242', '0.3692', '0.1592', '0.2179', '0.3692']","['0.3559', '0.2673', '0.1945', '0.1636', '0.2054', '0.1631', '0.2794', '0.1627', '0.3050', '0.2587']","['0.4124', '0.2220', '0.1725', '0.0736', '0.3050', '0.1242', '0.3692', '0.1592', '0.2179', '0.3692']","['0.3821', '0.2426', '0.1828', '0.1016', '0.2455', '0.1410', '0.3181', '0.1609', '0.2542', '0.3042']","['0.4124', '0.2220', '0.1725', '0.0736', '0.3050', '0.1242', '0.3692', '0.1592', '0.2179', '0.3692']","['0.9154', '0.9314', '0.9244', '0.9573', '0.8689', '0.9276', '0.8934', '0.9085', '0.9456', '0.8857']","[[252, 42, 95, 22, 15, 8, 10, 23, 61, 83], [69, 135, 3, 6, 37, 8, 44, 39, 75, 192], [39, 30, 99, 24, 140, 57, 85, 50, 11, 39], [27, 36, 58, 45, 117, 76, 107, 86, 11, 48], [19, 20, 49, 18, 183, 86, 128, 52, 12, 33], [43, 22, 73, 69, 108, 76, 71, 107, 11, 32], [5, 28, 42, 13, 180, 39, 223, 43, 2, 29], [36, 37, 66, 35, 84, 88, 92, 96, 22, 47], [163, 53, 14, 31, 10, 3, 21, 52, 129, 116], [55, 102, 10, 12, 17, 25, 17, 42, 89, 216]]","[7, 4, 5, 2, 7, 5, 4, 3, 5, 6, 7, 7, 9, 5, 8, 7]","[7, 4, 5, 2, 7, 5, 4, 3, 5, 6, 3, 7, 9, 5, 8, 7]","[[ 4.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  2.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. 11.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  9.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0. 20.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. 13.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. 14.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. 13.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  6.]]",96
7,"['0.3486', '0.2928', '0.1864', '0.1211', '0.3000', '0.1324', '0.3212', '0.2222', '0.2838', '0.2462']","['0.4168', '0.2972', '0.1963', '0.1745', '0.2190', '0.1614', '0.3191', '0.1540', '0.2984', '0.2590']","['0.3486', '0.2928', '0.1864', '0.1211', '0.3000', '0.1324', '0.3212', '0.2222', '0.2838', '0.2462']","['0.3797', '0.2949', '0.1912', '0.1430', '0.2532', '0.1454', '0.3201', '0.1819', '0.2909', '0.2524']","['0.3486', '0.2928', '0.1864', '0.1211', '0.3000', '0.1324', '0.3212', '0.2222', '0.2838', '0.2462']","['0.9447', '0.9219', '0.9193', '0.9351', '0.8811', '0.9219', '0.9233', '0.8636', '0.9270', '0.9239']","[[213, 52, 94, 36, 15, 4, 8, 48, 85, 56], [47, 178, 3, 9, 32, 14, 40, 67, 91, 127], [31, 29, 107, 39, 133, 57, 65, 70, 15, 28], [12, 34, 64, 74, 102, 94, 63, 119, 16, 33], [15, 21, 59, 28, 180, 87, 103, 70, 16, 21], [10, 19, 77, 93, 77, 81, 51, 155, 21, 28], [4, 31, 43, 28, 173, 52, 194, 59, 4, 16], [19, 38, 74, 59, 85, 88, 55, 134, 21, 30], [131, 64, 12, 40, 7, 7, 13, 77, 168, 73], [29, 133, 12, 18, 18, 18, 16, 71, 126, 144]]","[7, 2, 2, 4, 6, 2, 4, 4, 5, 7, 5, 6, 9, 2, 4, 5]","[7, 2, 2, 4, 6, 2, 4, 0, 5, 7, 5, 6, 9, 2, 4, 5]","[[ 4.  1.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  2.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. 15.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  9.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0. 23.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. 16.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. 16.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. 15.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  7.]]",112
8,"['0.4730', '0.2220', '0.1690', '0.0900', '0.4033', '0.1258', '0.2566', '0.1990', '0.2078', '0.2735']","['0.3376', '0.3191', '0.1906', '0.2000', '0.2104', '0.1667', '0.3033', '0.1472', '0.2600', '0.3042']","['0.4730', '0.2220', '0.1690', '0.0900', '0.4033', '0.1258', '0.2566', '0.1990', '0.2078', '0.2735']","['0.3940', '0.2619', '0.1791', '0.1242', '0.2766', '0.1434', '0.2780', '0.1693', '0.2310', '0.2880']","['0.4730', '0.2220', '0.1690', '0.0900', '0.4033', '0.1258', '0.2566', '0.1990', '0.2078', '0.2735']","['0.8948', '0.9466', '0.9241', '0.9592', '0.8319', '0.9285', '0.9340', '0.8712', '0.9353', '0.9324']","[[289, 30, 93, 14, 24, 6, 11, 37, 58, 49], [89, 135, 4, 5, 53, 11, 48, 56, 96, 111], [48, 18, 97, 23, 176, 47, 50, 77, 15, 23], [28, 20, 60, 55, 141, 91, 53, 123, 13, 27], [27, 12, 54, 19, 242, 82, 68, 61, 16, 19], [40, 11, 69, 65, 115, 77, 47, 150, 14, 24], [7, 25, 38, 19, 249, 34, 155, 58, 4, 15], [45, 30, 68, 42, 111, 91, 48, 120, 15, 33], [211, 46, 13, 23, 13, 6, 13, 79, 123, 65], [72, 96, 13, 10, 26, 17, 18, 54, 119, 160]]","[3, 7, 2, 3, 2, 2, 6, 6, 3, 8, 3, 1, 6, 2, 6, 4]","[3, 3, 2, 3, 2, 2, 6, 6, 3, 6, 3, 1, 6, 2, 6, 4]","[[ 4.  1.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  3.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. 19.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 13.  0.  0.  0.  2.  0.  0.]
 [ 0.  0.  0.  0. 24.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. 16.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. 20.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. 15.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  7.]]",128
9,"['0.3732', '0.2467', '0.2300', '0.0295', '0.3450', '0.1520', '0.3295', '0.1924', '0.3463', '0.2103']","['0.4278', '0.3138', '0.1994', '0.1682', '0.2037', '0.1661', '0.2711', '0.1538', '0.2737', '0.3022']","['0.3732', '0.2467', '0.2300', '0.0295', '0.3450', '0.1520', '0.3295', '0.1924', '0.3463', '0.2103']","['0.3986', '0.2762', '0.2136', '0.0501', '0.2562', '0.1587', '0.2975', '0.1710', '0.3057', '0.2480']","['0.3732', '0.2467', '0.2300', '0.0295', '0.3450', '0.1520', '0.3295', '0.1924', '0.3463', '0.2103']","['0.9434', '0.9392', '0.9023', '0.9835', '0.8502', '0.9133', '0.9009', '0.8818', '0.8994', '0.9476']","[[228, 45, 102, 8, 21, 9, 14, 40, 110, 34], [40, 150, 4, 4, 50, 14, 61, 48, 142, 95], [35, 19, 132, 8, 158, 62, 68, 53, 18, 21], [13, 28, 76, 18, 129, 106, 84, 115, 24, 18], [14, 11, 78, 8, 207, 94, 105, 47, 22, 14], [18, 15, 90, 29, 101, 93, 77, 153, 19, 17], [4, 20, 62, 7, 210, 42, 199, 45, 5, 10], [27, 32, 85, 16, 91, 105, 78, 116, 28, 25], [124, 54, 18, 6, 19, 9, 20, 87, 205, 50], [30, 104, 15, 3, 30, 26, 28, 50, 176, 123]]","[4, 7, 4, 9, 6, 1, 3, 8, 6, 2, 1, 3, 4, 2, 8, 2]","[4, 7, 4, 9, 6, 1, 3, 0, 6, 2, 1, 3, 4, 2, 8, 2]","[[ 4.  1.  0.  0.  1.  0.  0.  0.  1.  0.]
 [ 0.  5.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. 22.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 15.  0.  0.  0.  2.  0.  0.]
 [ 0.  0.  0.  0. 27.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. 16.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. 22.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. 16.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  3.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  8.]]",144
10,"['0.4386', '0.1530', '0.1725', '0.0917', '0.3283', '0.1895', '0.2798', '0.2637', '0.1622', '0.3197']","['0.3485', '0.3550', '0.2245', '0.1734', '0.2216', '0.1545', '0.2721', '0.1712', '0.2394', '0.3046']","['0.4386', '0.1530', '0.1725', '0.0917', '0.3283', '0.1895', '0.2798', '0.2637', '0.1622', '0.3197']","['0.3884', '0.2138', '0.1951', '0.1199', '0.2646', '0.1702', '0.2759', '0.2076', '0.1934', '0.3119']","['0.4386', '0.1530', '0.1725', '0.0917', '0.3283', '0.1895', '0.2798', '0.2637', '0.1622', '0.3197']","['0.9070', '0.9687', '0.9370', '0.9505', '0.8719', '0.8821', '0.9162', '0.8573', '0.9436', '0.9211']","[[268, 19, 95, 22, 23, 11, 15, 51, 55, 52], [87, 93, 4, 11, 38, 16, 61, 55, 94, 149], [37, 12, 99, 22, 142, 82, 66, 79, 9, 26], [14, 14, 44, 56, 107, 141, 58, 133, 17, 27], [20, 5, 53, 15, 197, 126, 85, 71, 9, 19], [20, 9, 58, 80, 75, 116, 60, 161, 11, 22], [5, 11, 29, 25, 203, 81, 169, 64, 2, 15], [31, 15, 38, 51, 71, 135, 61, 159, 6, 36], [216, 30, 13, 27, 12, 13, 17, 87, 96, 81], [71, 54, 8, 14, 21, 30, 29, 69, 102, 187]]","[8, 9, 2, 6, 6, 6, 9, 6, 4, 4, 5, 2, 7, 4, 4, 9]","[8, 9, 2, 0, 6, 6, 9, 8, 4, 4, 2, 2, 7, 4, 4, 9]","[[ 4.  1.  0.  0.  1.  0.  1.  0.  1.  0.]
 [ 0.  5.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. 24.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0. 15.  0.  0.  0.  2.  0.  0.]
 [ 0.  0.  0.  0. 31.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. 16.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. 24.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. 17.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  4.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0. 11.]]",160
11,"['0.4075', '0.2895', '0.1777', '0.1129', '0.3333', '0.1340', '0.4023', '0.1559', '0.2703', '0.3624']","['0.3915', '0.3667', '0.1726', '0.2047', '0.2370', '0.1684', '0.2928', '0.1880', '0.2807', '0.2924']","['0.4075', '0.2895', '0.1777', '0.1129', '0.3333', '0.1340', '0.4023', '0.1559', '0.2703', '0.3624']","['0.3994', '0.3235', '0.1751', '0.1456', '0.2770', '0.1492', '0.3389', '0.1704', '0.2754', '0.3237']","['0.4075', '0.2895', '0.1777', '0.1129', '0.3333', '0.1340', '0.4023', '0.1559', '0.2703', '0.3624']","['0.9282', '0.9436', '0.9099', '0.9503', '0.8807', '0.9248', '0.8912', '0.9248', '0.9242', '0.9053']","[[249, 45, 105, 18, 24, 8, 17, 12, 77, 56], [57, 176, 8, 9, 19, 10, 47, 27, 109, 146], [40, 19, 102, 24, 141, 58, 93, 45, 12, 40], [16, 24, 67, 69, 95, 88, 106, 78, 26, 42], [15, 12, 76, 15, 200, 72, 128, 37, 18, 27], [17, 13, 82, 87, 87, 82, 84, 97, 26, 37], [5, 27, 48, 17, 166, 43, 243, 33, 2, 20], [32, 31, 70, 51, 81, 100, 73, 94, 21, 50], [163, 53, 19, 28, 10, 6, 13, 45, 160, 95], [42, 80, 14, 19, 21, 20, 26, 32, 119, 212]]","[9, 9, 9, 9, 8, 2, 2, 5, 1, 5, 5, 0, 6, 9, 9, 1]","[9, 6, 9, 9, 8, 2, 2, 3, 1, 5, 5, 0, 6, 9, 9, 1]","[[ 5.  1.  0.  0.  1.  0.  1.  0.  1.  0.]
 [ 0.  7.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. 26.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0. 15.  0.  1.  0.  2.  0.  0.]
 [ 0.  0.  0.  0. 31.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. 18.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. 25.  0.  1.  1.]
 [ 0.  0.  0.  0.  0.  0.  0. 17.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  5.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0. 16.]]",176
